input_element,input_weakness,option_1,option_2,option_3,option_4,option_5,ideal_choice
Fire,Lightning,Water,Fighting,Colorless,Metal,Psychic,Lightning
Colorless,Fighting,Metal,Metal,Lightning,Psychic,Colorless,Fighting
Grass,Fire,Fighting,Colorless,Grass,Fighting,Colorless,Fire
Fighting,Psychic,Grass,Lightning,Colorless,Lightning,Fighting,Psychic
Fighting,Psychic,Darkness,Darkness,Fire,Psychic,Psychic,Psychic
Fighting,Grass,Water,Water,Fighting,Lightning,Colorless,Grass
Fighting,Grass,Colorless,Lightning,Fire,Colorless,Fighting,Grass
Water,Lightning,Colorless,Grass,Darkness,Lightning,Colorless,Lightning
Water,Lightning,Water,Colorless,Colorless,Psychic,Fire,Lightning
Colorless,Fighting,Fire,Darkness,Darkness,Fire,Darkness,Fighting
Lightning,Lightning,Metal,Psychic,Fighting,Lightning,Grass,Lightning
Psychic,Darkness,Fighting,Colorless,Psychic,Fighting,Darkness,Darkness
Fighting,Psychic,Colorless,Grass,Water,Colorless,Grass,Psychic
Colorless,Fighting,Lightning,Fighting,Colorless,Grass,Psychic,Fighting
Colorless,Fighting,Metal,Fire,Fire,Fire,Psychic,Fighting
Fire,Water,Lightning,Grass,Metal,Darkness,Lightning,Water
Psychic,Darkness,Darkness,Darkness,Fire,Colorless,Fighting,Darkness
Colorless,Fighting,Colorless,Darkness,Colorless,Lightning,Metal,Fighting
Psychic,Metal,Psychic,Psychic,Psychic,Fighting,Lightning,Metal
Darkness,Fighting,Colorless,Fire,Water,Lightning,Fire,Fighting
Fire,Lightning,Darkness,Darkness,Psychic,Grass,Lightning,Lightning
Grass,Fire,Lightning,Lightning,Grass,Water,Fire,Fire
Water,Lightning,Darkness,Water,Darkness,Psychic,Fighting,Lightning
Lightning,Fighting,Fighting,Metal,Lightning,Water,Colorless,Fighting
Water,Lightning,Grass,Water,Fire,Metal,Fire,Lightning
Colorless,Fighting,Water,Fighting,Fighting,Fire,Grass,Fighting
Psychic,Darkness,Water,Grass,Psychic,Darkness,Grass,Darkness
Lightning,Lightning,Psychic,Psychic,Colorless,Lightning,Psychic,Lightning
Grass,Fire,Psychic,Water,Darkness,Grass,Fire,Fire
Fire,Water,Fighting,Colorless,Water,Darkness,Fire,Water
Grass,Fire,Metal,Water,Fighting,Grass,Metal,Fire
Colorless,Fighting,Water,Psychic,Fighting,Fire,Fighting,Fighting
Lightning,Fighting,Psychic,Fire,Colorless,Psychic,Metal,Fighting
Water,Lightning,Metal,Fire,Psychic,Fire,Darkness,Lightning
Grass,Fire,Fire,Darkness,Colorless,Water,Lightning,Fire
Water,Lightning,Fire,Grass,Fire,Colorless,Grass,Lightning
Lightning,Fighting,Colorless,Psychic,Fire,Water,Grass,Fighting
Grass,Fire,Darkness,Psychic,Lightning,Psychic,Fighting,Fire
Grass,Fire,Fire,Metal,Fire,Metal,Grass,Fire
Colorless,Fighting,Fire,Water,Fire,Colorless,Lightning,Fighting
Fighting,Psychic,Lightning,Metal,Psychic,Grass,Darkness,Psychic
Colorless,Fighting,Lightning,Darkness,Colorless,Darkness,Psychic,Fighting
Psychic,Darkness,Colorless,Fighting,Fire,Colorless,Darkness,Darkness
Lightning,Fighting,Colorless,Grass,Grass,Psychic,Fighting,Fighting
Water,Lightning,Metal,Darkness,Darkness,Water,Metal,Lightning
Psychic,Darkness,Water,Metal,Lightning,Fire,Fighting,Darkness
Colorless,Fighting,Fighting,Colorless,Fighting,Metal,Fighting,Fighting
Fighting,Psychic,Psychic,Psychic,Lightning,Fighting,Grass,Psychic
Lightning,Fighting,Water,Metal,Lightning,Lightning,Fire,Fighting
Colorless,Fighting,Metal,Darkness,Lightning,Metal,Water,Fighting
Colorless,Fighting,Grass,Grass,Darkness,Metal,Grass,Fighting
Lightning,Fighting,Fighting,Psychic,Fire,Water,Colorless,Fighting
Fighting,Psychic,Metal,Metal,Grass,Metal,Psychic,Psychic
Grass,Fire,Lightning,Metal,Grass,Water,Metal,Fire
Fire,Lightning,Psychic,Metal,Metal,Darkness,Metal,Lightning
Water,Lightning,Fire,Grass,Lightning,Metal,Metal,Lightning
Colorless,Fighting,Metal,Metal,Colorless,Fighting,Water,Fighting
Metal,Fire,Colorless,Darkness,Grass,Fire,Fighting,Fire
Grass,Fire,Fighting,Colorless,Fighting,Fire,Colorless,Fire
Grass,Fire,Lightning,Fire,Psychic,Psychic,Grass,Fire
Water,Lightning,Fighting,Water,Fire,Metal,Grass,Lightning
Lightning,Fighting,Metal,Psychic,Fire,Psychic,Psychic,Fighting
Colorless,Fighting,Lightning,Fighting,Water,Lightning,Fighting,Fighting
Darkness,Fighting,Grass,Psychic,Colorless,Water,Metal,Fighting
Fighting,Psychic,Psychic,Psychic,Fighting,Colorless,Colorless,Psychic
Fighting,Psychic,Colorless,Metal,Fire,Fighting,Metal,Psychic
Psychic,Darkness,Colorless,Darkness,Colorless,Fire,Grass,Darkness
Lightning,Fighting,Colorless,Water,Fire,Darkness,Lightning,Fighting
Fire,Water,Colorless,Metal,Psychic,Lightning,Darkness,Water
Lightning,Fighting,Lightning,Water,Metal,Metal,Water,Fighting
Water,Lightning,Colorless,Psychic,Lightning,Darkness,Water,Lightning
Psychic,Darkness,Psychic,Psychic,Metal,Colorless,Metal,Darkness
Metal,Fire,Metal,Lightning,Fire,Colorless,Fighting,Fire
Colorless,Fighting,Colorless,Darkness,Water,Lightning,Metal,Fighting
Water,Lightning,Fire,Grass,Lightning,Metal,Water,Lightning
Grass,Fire,Water,Grass,Lightning,Darkness,Lightning,Fire
Water,Lightning,Water,Lightning,Fighting,Psychic,Psychic,Lightning
Lightning,Fighting,Metal,Colorless,Lightning,Lightning,Psychic,Fighting
Fire,Lightning,Lightning,Colorless,Fire,Fighting,Water,Lightning
Colorless,Fighting,Fire,Metal,Fire,Psychic,Water,Fighting
Colorless,Fighting,Grass,Colorless,Psychic,Grass,Fighting,Fighting
Fire,Lightning,Metal,Grass,Fire,Darkness,Psychic,Lightning
Lightning,Fighting,Water,Fire,Psychic,Metal,Metal,Fighting
Fire,Water,Fire,Grass,Darkness,Grass,Fire,Water
Psychic,Darkness,Lightning,Metal,Water,Grass,Colorless,Darkness
Colorless,Lightning,Darkness,Psychic,Grass,Psychic,Water,Lightning
Grass,Fire,Grass,Colorless,Grass,Colorless,Water,Fire
Lightning,Fighting,Grass,Grass,Water,Metal,Water,Fighting
Lightning,Lightning,Fire,Lightning,Colorless,Metal,Darkness,Lightning
Fire,Lightning,Metal,Colorless,Fighting,Lightning,Colorless,Lightning
Lightning,Lightning,Psychic,Psychic,Metal,Fighting,Darkness,Lightning
Lightning,Lightning,Fighting,Metal,Fire,Water,Darkness,Lightning
Grass,Fire,Darkness,Fire,Colorless,Colorless,Darkness,Fire
Grass,Fire,Metal,Metal,Fighting,Psychic,Grass,Fire
Colorless,Fighting,Water,Psychic,Fighting,Darkness,Water,Fighting
Fighting,Psychic,Lightning,Fire,Grass,Colorless,Fighting,Psychic
Metal,Fire,Fighting,Water,Metal,Colorless,Darkness,Fire
Darkness,Fighting,Water,Grass,Lightning,Grass,Metal,Fighting
Water,Lightning,Metal,Grass,Psychic,Grass,Grass,Lightning
Lightning,Fighting,Metal,Fighting,Psychic,Darkness,Lightning,Fighting
Water,Lightning,Fire,Colorless,Colorless,Psychic,Colorless,Lightning
Colorless,Fighting,Water,Water,Metal,Darkness,Grass,Fighting
Grass,Fire,Metal,Psychic,Lightning,Metal,Fighting,Fire
Grass,Fire,Lightning,Grass,Metal,Grass,Colorless,Fire
Lightning,Fighting,Fire,Darkness,Darkness,Grass,Darkness,Fighting
Psychic,Darkness,Psychic,Metal,Psychic,Metal,Metal,Darkness
Water,Lightning,Metal,Darkness,Metal,Water,Metal,Lightning
Grass,Fire,Psychic,Colorless,Darkness,Darkness,Colorless,Fire
Lightning,Fighting,Water,Lightning,Lightning,Fire,Fighting,Fighting
Darkness,Fighting,Lightning,Fire,Water,Metal,Metal,Fighting
Psychic,Darkness,Grass,Colorless,Fighting,Darkness,Fire,Darkness
Lightning,Fighting,Darkness,Colorless,Darkness,Grass,Psychic,Fighting
Colorless,Lightning,Fighting,Colorless,Fire,Grass,Grass,Lightning
Fire,Water,Fighting,Water,Metal,Darkness,Darkness,Water
Water,Lightning,Fighting,Water,Metal,Metal,Fighting,Lightning
Psychic,Darkness,Fire,Darkness,Fighting,Psychic,Colorless,Darkness
Colorless,Fighting,Darkness,Grass,Darkness,Grass,Colorless,Fighting
Water,Lightning,Grass,Grass,Lightning,Water,Water,Lightning
Water,Lightning,Fire,Psychic,Grass,Darkness,Darkness,Lightning
Darkness,Fighting,Psychic,Metal,Colorless,Psychic,Fire,Fighting
Colorless,Fighting,Fighting,Water,Grass,Psychic,Lightning,Fighting
Darkness,Fighting,Metal,Water,Psychic,Darkness,Lightning,Fighting
Grass,Fire,Grass,Fighting,Grass,Grass,Metal,Fire
Water,Lightning,Psychic,Grass,Fighting,Darkness,Lightning,Lightning
Water,Lightning,Fighting,Metal,Grass,Water,Darkness,Lightning
Grass,Fire,Lightning,Colorless,Fighting,Colorless,Psychic,Fire
Fighting,Grass,Grass,Darkness,Fighting,Fire,Metal,Grass
Fighting,Psychic,Metal,Lightning,Water,Water,Water,Psychic
Grass,Fire,Metal,Colorless,Psychic,Grass,Fighting,Fire
Grass,Fire,Colorless,Water,Grass,Darkness,Psychic,Fire
Water,Lightning,Colorless,Darkness,Lightning,Metal,Psychic,Lightning
Lightning,Fighting,Lightning,Darkness,Metal,Fighting,Water,Fighting
Psychic,Darkness,Psychic,Colorless,Psychic,Psychic,Fighting,Darkness
Psychic,Darkness,Colorless,Metal,Lightning,Water,Darkness,Darkness
Grass,Fire,Grass,Metal,Lightning,Fire,Psychic,Fire
Fire,Lightning,Fire,Psychic,Colorless,Darkness,Metal,Lightning
Colorless,Fighting,Metal,Water,Metal,Metal,Metal,Fighting
Psychic,Metal,Fighting,Fighting,Water,Water,Grass,Metal
Psychic,Darkness,Darkness,Grass,Darkness,Lightning,Metal,Darkness
Fire,Lightning,Fire,Metal,Grass,Grass,Lightning,Lightning
Colorless,Fighting,Fire,Water,Colorless,Fighting,Psychic,Fighting
Lightning,Fighting,Darkness,Colorless,Fighting,Lightning,Metal,Fighting
Psychic,Darkness,Darkness,Fighting,Darkness,Grass,Colorless,Darkness
Lightning,Fighting,Fire,Darkness,Fire,Colorless,Fighting,Fighting
Colorless,Fighting,Grass,Fighting,Darkness,Colorless,Water,Fighting
Fire,Water,Fighting,Darkness,Darkness,Fire,Water,Water
Lightning,Fighting,Fighting,Darkness,Psychic,Fighting,Grass,Fighting
Colorless,Fighting,Psychic,Lightning,Fire,Water,Water,Fighting
Water,Lightning,Metal,Lightning,Lightning,Darkness,Psychic,Lightning
Colorless,Fighting,Colorless,Lightning,Lightning,Lightning,Water,Fighting
Lightning,Fighting,Water,Darkness,Lightning,Metal,Fighting,Fighting
Psychic,Darkness,Metal,Metal,Metal,Colorless,Fire,Darkness
Lightning,Lightning,Metal,Psychic,Fire,Darkness,Psychic,Lightning
Fighting,Psychic,Grass,Water,Darkness,Fighting,Psychic,Psychic
Lightning,Fighting,Water,Darkness,Psychic,Fire,Colorless,Fighting
Colorless,Fighting,Fighting,Water,Fighting,Grass,Lightning,Fighting
Water,Lightning,Metal,Fire,Metal,Fighting,Metal,Lightning
Fighting,Psychic,Metal,Psychic,Lightning,Darkness,Water,Psychic
Colorless,Fighting,Water,Fighting,Fighting,Fighting,Metal,Fighting
Metal,Fire,Darkness,Metal,Water,Lightning,Fire,Fire
Water,Lightning,Darkness,Colorless,Metal,Fire,Grass,Lightning
Lightning,Lightning,Darkness,Colorless,Fire,Fire,Fire,Lightning
Colorless,Fighting,Metal,Metal,Lightning,Colorless,Colorless,Fighting
Colorless,Fighting,Metal,Lightning,Lightning,Psychic,Fighting,Fighting
Lightning,Fighting,Lightning,Fire,Lightning,Grass,Grass,Fighting
Psychic,Darkness,Psychic,Fighting,Colorless,Darkness,Fighting,Darkness
Lightning,Lightning,Fire,Water,Metal,Lightning,Lightning,Lightning
Colorless,Lightning,Psychic,Psychic,Fighting,Lightning,Metal,Lightning
Water,Lightning,Psychic,Psychic,Water,Colorless,Fire,Lightning
Colorless,Fighting,Lightning,Fire,Fire,Grass,Fighting,Fighting
Darkness,Fighting,Fighting,Darkness,Lightning,Water,Metal,Fighting
Fire,Water,Grass,Colorless,Fire,Darkness,Water,Water
Fire,Water,Grass,Darkness,Darkness,Grass,Metal,Water
Psychic,Darkness,Fire,Water,Grass,Darkness,Darkness,Darkness
Water,Lightning,Grass,Colorless,Darkness,Colorless,Grass,Lightning
Colorless,Lightning,Metal,Darkness,Darkness,Colorless,Darkness,Lightning
Fire,Water,Grass,Fighting,Fire,Colorless,Darkness,Water
Grass,Fire,Fire,Grass,Psychic,Grass,Lightning,Fire
Lightning,Fighting,Psychic,Water,Metal,Fire,Darkness,Fighting
Fighting,Grass,Psychic,Metal,Darkness,Grass,Darkness,Grass
Psychic,Darkness,Darkness,Fighting,Psychic,Water,Fighting,Darkness
Colorless,Lightning,Darkness,Grass,Colorless,Colorless,Grass,Lightning
Colorless,Fighting,Colorless,Psychic,Psychic,Colorless,Fire,Fighting
Water,Lightning,Colorless,Colorless,Fighting,Water,Darkness,Lightning
Psychic,Darkness,Lightning,Metal,Fighting,Psychic,Fire,Darkness
Colorless,Fighting,Fire,Colorless,Grass,Colorless,Water,Fighting
Lightning,Fighting,Psychic,Colorless,Psychic,Darkness,Grass,Fighting
Colorless,Fighting,Fighting,Grass,Colorless,Psychic,Grass,Fighting
Fighting,Psychic,Colorless,Lightning,Colorless,Fighting,Colorless,Psychic
Water,Lightning,Colorless,Lightning,Fighting,Metal,Water,Lightning
Lightning,Fighting,Grass,Water,Lightning,Fighting,Colorless,Fighting
Grass,Fire,Fighting,Psychic,Metal,Colorless,Colorless,Fire
Grass,Fire,Colorless,Water,Lightning,Fire,Darkness,Fire
Metal,Fire,Fighting,Fighting,Darkness,Psychic,Lightning,Fire
Grass,Fire,Fire,Lightning,Colorless,Water,Water,Fire
Lightning,Fighting,Lightning,Grass,Colorless,Psychic,Fighting,Fighting
Fire,Water,Lightning,Water,Fire,Metal,Water,Water
Psychic,Darkness,Grass,Grass,Lightning,Darkness,Fire,Darkness
Lightning,Fighting,Fire,Water,Fighting,Colorless,Darkness,Fighting
Fire,Lightning,Colorless,Psychic,Fighting,Colorless,Metal,Lightning
Colorless,Lightning,Lightning,Lightning,Psychic,Water,Fighting,Lightning
Grass,Fire,Water,Metal,Fighting,Colorless,Fire,Fire
Water,Lightning,Metal,Lightning,Metal,Darkness,Fire,Lightning
Fighting,Grass,Metal,Colorless,Fighting,Fighting,Water,Grass
Fighting,Grass,Grass,Fighting,Lightning,Fighting,Psychic,Grass
Fighting,Grass,Metal,Psychic,Fighting,Fighting,Water,Grass
Fighting,Psychic,Colorless,Lightning,Colorless,Fire,Grass,Psychic
Colorless,Fighting,Lightning,Colorless,Psychic,Fighting,Grass,Fighting
Lightning,Fighting,Colorless,Colorless,Darkness,Psychic,Fighting,Fighting
Darkness,Fighting,Grass,Fighting,Lightning,Water,Fire,Fighting
Grass,Fire,Darkness,Psychic,Lightning,Water,Metal,Fire
Colorless,Fighting,Fighting,Metal,Darkness,Water,Metal,Fighting
Metal,Fire,Fire,Fighting,Grass,Metal,Darkness,Fire
Grass,Fire,Colorless,Water,Grass,Lightning,Fighting,Fire
Colorless,Fighting,Fighting,Fire,Darkness,Water,Psychic,Fighting
Water,Lightning,Fire,Water,Water,Psychic,Psychic,Lightning
Fighting,Grass,Fighting,Colorless,Colorless,Water,Fighting,Grass
Water,Lightning,Fire,Colorless,Lightning,Darkness,Water,Lightning
Colorless,Fighting,Psychic,Grass,Darkness,Fire,Lightning,Fighting
Water,Lightning,Lightning,Fighting,Psychic,Lightning,Fire,Lightning
Colorless,Fighting,Darkness,Colorless,Colorless,Grass,Lightning,Fighting
Water,Lightning,Psychic,Fire,Water,Darkness,Darkness,Lightning
Colorless,Fighting,Fire,Darkness,Fire,Grass,Colorless,Fighting
Water,Lightning,Darkness,Colorless,Lightning,Darkness,Darkness,Lightning
Fighting,Psychic,Metal,Darkness,Water,Lightning,Lightning,Psychic
Water,Lightning,Colorless,Metal,Fighting,Lightning,Water,Lightning
Colorless,Fighting,Metal,Fire,Psychic,Metal,Darkness,Fighting
Colorless,Fighting,Metal,Fire,Fighting,Grass,Fire,Fighting
Water,Lightning,Darkness,Lightning,Fire,Fire,Metal,Lightning
Colorless,Fighting,Darkness,Water,Darkness,Darkness,Psychic,Fighting
Colorless,Lightning,Lightning,Fire,Water,Lightning,Metal,Lightning
Fighting,Psychic,Water,Lightning,Darkness,Fighting,Water,Psychic
Psychic,Darkness,Darkness,Fire,Psychic,Metal,Metal,Darkness
Colorless,Fighting,Colorless,Psychic,Lightning,Lightning,Fighting,Fighting
Colorless,Fighting,Water,Colorless,Grass,Fire,Darkness,Fighting
Grass,Fire,Grass,Metal,Grass,Metal,Darkness,Fire
Psychic,Darkness,Fighting,Metal,Darkness,Grass,Darkness,Darkness
Water,Lightning,Metal,Fire,Colorless,Colorless,Fighting,Lightning
Colorless,Fighting,Grass,Grass,Fire,Darkness,Grass,Fighting
Colorless,Fighting,Psychic,Water,Colorless,Fighting,Lightning,Fighting
Fire,Water,Metal,Fire,Metal,Darkness,Lightning,Water
Water,Lightning,Darkness,Lightning,Fighting,Colorless,Colorless,Lightning
Water,Lightning,Darkness,Water,Water,Fire,Psychic,Lightning
Fire,Water,Grass,Fighting,Fighting,Fire,Psychic,Water
Darkness,Fighting,Lightning,Colorless,Grass,Metal,Fighting,Fighting
Water,Lightning,Metal,Metal,Colorless,Colorless,Water,Lightning
Lightning,Fighting,Darkness,Lightning,Grass,Fire,Colorless,Fighting
Water,Lightning,Darkness,Metal,Lightning,Lightning,Water,Lightning
Colorless,Fighting,Psychic,Water,Fighting,Fire,Darkness,Fighting
Water,Lightning,Fighting,Lightning,Metal,Colorless,Psychic,Lightning
Grass,Fire,Colorless,Psychic,Metal,Water,Fighting,Fire
Psychic,Darkness,Lightning,Grass,Metal,Fire,Metal,Darkness
Fire,Water,Colorless,Darkness,Fire,Lightning,Darkness,Water
Psychic,Darkness,Colorless,Metal,Fire,Grass,Fighting,Darkness
Grass,Fire,Fighting,Psychic,Lightning,Grass,Lightning,Fire
Fire,Water,Lightning,Fighting,Fighting,Metal,Fire,Water
Fire,Water,Metal,Lightning,Fire,Grass,Colorless,Water
Water,Lightning,Colorless,Grass,Psychic,Metal,Grass,Lightning
Fighting,Psychic,Colorless,Darkness,Darkness,Water,Grass,Psychic
Lightning,Fighting,Water,Metal,Darkness,Fire,Darkness,Fighting
Colorless,Fighting,Lightning,Fighting,Darkness,Grass,Grass,Fighting
Lightning,Fighting,Fire,Grass,Lightning,Metal,Water,Fighting
Fighting,Psychic,Metal,Grass,Darkness,Fighting,Lightning,Psychic
Fire,Lightning,Grass,Darkness,Darkness,Fire,Lightning,Lightning
Water,Metal,Water,Water,Lightning,Water,Colorless,Metal
Psychic,Darkness,Psychic,Water,Darkness,Fighting,Fire,Darkness
Grass,Fire,Lightning,Fire,Darkness,Water,Psychic,Fire
Fire,Lightning,Psychic,Lightning,Lightning,Grass,Colorless,Lightning
Water,Lightning,Darkness,Lightning,Water,Colorless,Fire,Lightning
Grass,Fire,Grass,Metal,Grass,Fire,Fighting,Fire
Grass,Fire,Psychic,Fire,Lightning,Water,Fire,Fire
Metal,Fire,Fighting,Lightning,Lightning,Grass,Lightning,Fire
Psychic,Darkness,Fighting,Darkness,Fire,Colorless,Metal,Darkness
Fire,Lightning,Fire,Psychic,Grass,Fire,Fighting,Lightning
Water,Lightning,Fire,Psychic,Fire,Lightning,Water,Lightning
Fire,Water,Metal,Fire,Metal,Fire,Darkness,Water
Darkness,Fighting,Colorless,Fighting,Fire,Colorless,Psychic,Fighting
Fighting,Grass,Colorless,Water,Grass,Lightning,Colorless,Grass
Grass,Fire,Darkness,Darkness,Darkness,Darkness,Fire,Fire
Grass,Fire,Colorless,Grass,Water,Grass,Fire,Fire
Grass,Fire,Grass,Psychic,Fighting,Psychic,Fighting,Fire
Darkness,Fighting,Psychic,Water,Metal,Colorless,Fighting,Fighting
Water,Lightning,Lightning,Metal,Colorless,Psychic,Fighting,Lightning
Colorless,Fighting,Colorless,Water,Lightning,Metal,Grass,Fighting
Water,Lightning,Darkness,Metal,Psychic,Fire,Darkness,Lightning
Water,Lightning,Colorless,Psychic,Colorless,Darkness,Metal,Lightning
Metal,Fire,Colorless,Fire,Darkness,Darkness,Colorless,Fire
Colorless,Fighting,Fire,Grass,Darkness,Colorless,Lightning,Fighting
Water,Lightning,Darkness,Colorless,Darkness,Grass,Fighting,Lightning
Fighting,Grass,Metal,Metal,Water,Metal,Darkness,Grass
Lightning,Fighting,Colorless,Grass,Grass,Water,Psychic,Fighting
Fighting,Grass,Lightning,Grass,Psychic,Lightning,Lightning,Grass
Fire,Water,Metal,Fire,Psychic,Lightning,Fire,Water
Psychic,Darkness,Grass,Water,Metal,Psychic,Fire,Darkness
Fighting,Psychic,Fighting,Fighting,Fire,Metal,Grass,Psychic
Psychic,Darkness,Psychic,Water,Darkness,Grass,Fire,Darkness
Water,Lightning,Metal,Colorless,Colorless,Psychic,Fighting,Lightning
Water,Lightning,Grass,Darkness,Darkness,Lightning,Fighting,Lightning
Lightning,Fighting,Water,Metal,Fire,Darkness,Fighting,Fighting
Water,Lightning,Fighting,Grass,Colorless,Fighting,Darkness,Lightning
Psychic,Metal,Darkness,Water,Water,Water,Colorless,Metal
Colorless,Lightning,Darkness,Water,Fire,Metal,Metal,Lightning
Water,Lightning,Lightning,Metal,Water,Darkness,Metal,Lightning
Fire,Water,Fighting,Grass,Water,Water,Psychic,Water
Water,Lightning,Water,Grass,Fighting,Darkness,Grass,Lightning
Water,Lightning,Metal,Fighting,Darkness,Lightning,Colorless,Lightning
Psychic,Darkness,Metal,Water,Colorless,Darkness,Fighting,Darkness
Water,Lightning,Fire,Water,Water,Fire,Lightning,Lightning
Psychic,Darkness,Water,Fighting,Grass,Darkness,Metal,Darkness
Lightning,Fighting,Water,Psychic,Water,Fire,Colorless,Fighting
Water,Lightning,Fighting,Water,Water,Colorless,Metal,Lightning
Fighting,Psychic,Water,Fire,Lightning,Psychic,Darkness,Psychic
Darkness,Fighting,Lightning,Fire,Psychic,Colorless,Grass,Fighting
Lightning,Fighting,Lightning,Water,Fire,Metal,Grass,Fighting
Water,Lightning,Metal,Colorless,Metal,Water,Fighting,Lightning
Water,Lightning,Grass,Lightning,Darkness,Colorless,Metal,Lightning
Colorless,Fighting,Grass,Colorless,Grass,Lightning,Fighting,Fighting
Colorless,Fighting,Metal,Fire,Grass,Psychic,Grass,Fighting
Psychic,Darkness,Lightning,Colorless,Grass,Fighting,Psychic,Darkness
Water,Lightning,Colorless,Colorless,Grass,Psychic,Fighting,Lightning
Fighting,Grass,Water,Water,Psychic,Lightning,Darkness,Grass
Colorless,Lightning,Colorless,Colorless,Fire,Lightning,Colorless,Lightning
Metal,Fire,Water,Grass,Darkness,Lightning,Water,Fire
Colorless,Fighting,Fire,Lightning,Metal,Psychic,Grass,Fighting
Grass,Fire,Fighting,Lightning,Lightning,Metal,Darkness,Fire
Colorless,Lightning,Metal,Fire,Psychic,Psychic,Lightning,Lightning
Water,Lightning,Psychic,Colorless,Lightning,Colorless,Metal,Lightning
Water,Lightning,Metal,Water,Lightning,Colorless,Metal,Lightning
Psychic,Darkness,Fire,Fighting,Psychic,Psychic,Fighting,Darkness
Psychic,Darkness,Darkness,Darkness,Metal,Fire,Grass,Darkness
Darkness,Fighting,Lightning,Metal,Lightning,Fighting,Colorless,Fighting
Water,Lightning,Metal,Colorless,Psychic,Psychic,Fighting,Lightning
Psychic,Metal,Fighting,Fire,Grass,Lightning,Fighting,Metal
Fighting,Grass,Metal,Colorless,Lightning,Fire,Colorless,Grass
Lightning,Lightning,Metal,Psychic,Psychic,Psychic,Colorless,Lightning
Fire,Water,Grass,Darkness,Fire,Colorless,Lightning,Water
Fighting,Psychic,Metal,Colorless,Colorless,Psychic,Darkness,Psychic
Water,Lightning,Fire,Metal,Water,Lightning,Metal,Lightning
Fire,Lightning,Grass,Psychic,Colorless,Grass,Grass,Lightning
Grass,Fire,Psychic,Fire,Colorless,Metal,Grass,Fire
Lightning,Fighting,Metal,Darkness,Psychic,Fighting,Fighting,Fighting
Psychic,Darkness,Colorless,Metal,Darkness,Darkness,Grass,Darkness
Lightning,Fighting,Colorless,Psychic,Grass,Fire,Grass,Fighting
Fighting,Psychic,Water,Fire,Darkness,Water,Metal,Psychic
Water,Lightning,Fire,Metal,Darkness,Lightning,Grass,Lightning
Darkness,Fighting,Metal,Darkness,Psychic,Metal,Psychic,Fighting
Water,Lightning,Lightning,Psychic,Grass,Lightning,Water,Lightning
Fighting,Grass,Grass,Fighting,Colorless,Water,Colorless,Grass
Water,Lightning,Fire,Lightning,Metal,Fire,Metal,Lightning
Grass,Fire,Grass,Colorless,Fighting,Psychic,Darkness,Fire
Colorless,Fighting,Water,Lightning,Colorless,Lightning,Psychic,Fighting
Colorless,Fighting,Fire,Psychic,Grass,Grass,Fire,Fighting
Psychic,Darkness,Lightning,Psychic,Fire,Darkness,Metal,Darkness
Colorless,Lightning,Metal,Fire,Lightning,Water,Water,Lightning
Water,Lightning,Water,Fighting,Water,Metal,Water,Lightning
Grass,Fire,Fire,Grass,Grass,Fire,Colorless,Fire
Colorless,Fighting,Fire,Fire,Metal,Lightning,Lightning,Fighting
Water,Lightning,Fighting,Psychic,Colorless,Metal,Lightning,Lightning
Psychic,Metal,Darkness,Water,Colorless,Darkness,Water,Metal
Grass,Fire,Fire,Fire,Water,Psychic,Fire,Fire
Psychic,Darkness,Grass,Fighting,Grass,Grass,Psychic,Darkness
Water,Lightning,Metal,Metal,Fighting,Fire,Metal,Lightning
Grass,Fire,Grass,Darkness,Fire,Fire,Metal,Fire
Fighting,Grass,Metal,Colorless,Lightning,Metal,Water,Grass
Fire,Water,Fighting,Metal,Lightning,Water,Fire,Water
Fighting,Grass,Lightning,Darkness,Water,Metal,Psychic,Grass
Fire,Water,Metal,Darkness,Fire,Psychic,Lightning,Water
Colorless,Fighting,Metal,Metal,Lightning,Metal,Fighting,Fighting
Metal,Fire,Grass,Fire,Psychic,Fire,Psychic,Fire
Water,Lightning,Water,Metal,Fire,Lightning,Lightning,Lightning
Grass,Fire,Fighting,Fire,Darkness,Darkness,Darkness,Fire
Colorless,Fighting,Lightning,Fire,Fighting,Lightning,Fighting,Fighting
Psychic,Darkness,Water,Psychic,Colorless,Metal,Grass,Darkness
Psychic,Darkness,Darkness,Water,Fire,Darkness,Grass,Darkness
Fighting,Psychic,Grass,Lightning,Fire,Lightning,Darkness,Psychic
Psychic,Darkness,Grass,Grass,Fighting,Metal,Darkness,Darkness
Colorless,Fighting,Darkness,Darkness,Metal,Psychic,Metal,Fighting
Grass,Fire,Grass,Fighting,Fire,Metal,Fighting,Fire
Lightning,Fighting,Fighting,Water,Fighting,Metal,Grass,Fighting
Grass,Fire,Fire,Grass,Metal,Metal,Colorless,Fire
Fighting,Grass,Fighting,Lightning,Colorless,Grass,Lightning,Grass
Grass,Fire,Lightning,Metal,Water,Colorless,Metal,Fire
Lightning,Fighting,Water,Water,Fire,Colorless,Lightning,Fighting
Fighting,Grass,Metal,Fire,Fire,Fire,Colorless,Grass
Colorless,Fighting,Lightning,Colorless,Darkness,Lightning,Water,Fighting
Fighting,Grass,Water,Grass,Water,Grass,Grass,Grass
Lightning,Lightning,Lightning,Fighting,Colorless,Metal,Water,Lightning
Psychic,Darkness,Colorless,Colorless,Water,Colorless,Darkness,Darkness
